customs_code,keyword
3005100000,
3301000000,
3303001000,Perfume
3303009000,Eau de toilette
3304100000,Lip ,Lipstick
3304200000,Eye
3304300000,nail polish
3304910000,Powder
3304990000,
3305100000,Shampoo
3305200000,
3305300000,Hair spray
3305900000,condicionier
3306100000,Tooth paste
3306200000,
3306900000,
3307100000,
3307200000,"deodorant,antiperspirant"
3402202000,
3402209000,Washing
3403990090,
3406000000,Candle
3926909790,
4014100000,"contraceptive,condon"
