"code","classificator_group","customs_code","language"
"virtuves-valiklis ","type","3402209000","en"
"vonios-burbulai ","type","3307300000","en"
"vonios-burbulas ","type","3307300000","en"
"vonios-burbulas-su-atviruku ","type","3307300000","en"
"vonios-burbulu-rinkinys ","type","3307300000","en"
"vonios-druska ","type","3307300000","en"
"vonios-ir-duso-eliksyras ","type","3401300000","en"
"vonios-muilas ","type","3401209000","en"
"vonios-pienelis ","type","3304990000","en"
"vonios-priemoniu-rinkinys ","type","3401300000","en"
"vonios-putos ","type","3401300000","en"
"vonios-tabletes ","type",,"en"
"vonios-valiklis ","type","3402209000","en"
"washing-capsules ","type","3402209000","en"
"washing-powder ","type","3402209000","en"
"water ","type",,"en"
"wc-products ","type","3402209000","en"
"wheat-flakes ","type",,"en"
"wheat-pasta ","type",,"en"
"zdrowie ","type",,"en"
"zele-i-akryle ","type",,"en"
"zirkles ","type","8213000000","en"
"znyples ","type","8203200000","en"
"zvake ","type","3406000000","en"
"zvakide ","type",,"en"
"zvakiu-priedai ","type","3406000000","en"
"zvakiu-rinkinys ","type","3406000000","en"
